timestamp,equity_r,last_trade_r,exit_reason,direction
2025-07-01 16:49:00,-1.0,-1.0,SL,SELL
2025-07-02 10:38:00,0.19999999999999996,1.2,TP,SELL
2025-07-02 13:05:00,-0.8,-1.0,SL,SELL
2025-07-02 15:16:00,0.3999999999999999,1.2,TP,SELL
2025-07-03 13:29:00,-0.6000000000000001,-1.0,SL,SELL
2025-07-07 16:06:00,-1.6,-1.0,SL,SELL
2025-07-07 18:44:00,-0.40000000000000013,1.2,TP,SELL
2025-07-07 19:18:00,-1.4000000000000001,-1.0,SL,SELL
2025-07-08 14:54:00,-0.20000000000000018,1.2,TP,SELL
2025-07-08 17:05:00,0.9999999999999998,1.2,TP,SELL
2025-07-08 19:57:00,-2.220446049250313e-16,-1.0,SL,SELL
2025-07-09 15:17:00,-1.0000000000000002,-1.0,SL,SELL
2025-07-10 10:43:00,0.19999999999999973,1.2,TP,SELL
2025-07-14 21:30:00,-0.8000000000000003,-1.0,SL,SELL
2025-07-16 15:56:00,0.3999999999999997,1.2,TP,SELL
2025-07-21 17:00:00,-0.6000000000000003,-1.0,SL,SELL
2025-07-22 10:53:00,0.5999999999999996,1.2,TP,SELL
2025-07-22 11:04:00,-0.40000000000000036,-1.0,SL,SELL
2025-07-22 16:22:00,-1.4000000000000004,-1.0,SL,SELL
2025-07-23 09:45:00,-2.4000000000000004,-1.0,SL,SELL
2025-07-23 15:19:00,-3.4000000000000004,-1.0,SL,SELL
2025-07-24 14:49:00,-4.4,-1.0,SL,SELL
2025-07-24 18:46:00,-5.4,-1.0,SL,SELL
2025-07-25 15:25:00,-6.4,-1.0,SL,SELL
2025-07-30 13:22:00,-5.2,1.2,TP,SELL
2025-07-30 16:52:00,-4.0,1.2,TP,SELL
2025-07-31 19:47:00,-2.8,1.2,TP,SELL
