timestamp,equity_r,last_trade_r,exit_reason,direction
2025-06-02 18:34:00,-1.0,-1.0,SL,SELL
2025-06-03 13:10:00,-2.0,-1.0,SL,SELL
2025-06-05 09:12:00,-3.0,-1.0,SL,SELL
2025-06-05 12:15:00,-4.0,-1.0,SL,SELL
2025-06-05 14:33:00,-5.0,-1.0,SL,SELL
2025-06-05 18:46:00,-3.8,1.2,TP,SELL
2025-06-11 13:50:00,-4.8,-1.0,SL,SELL
2025-06-12 15:41:00,-3.5999999999999996,1.2,TP,SELL
2025-06-13 13:37:00,-4.6,-1.0,SL,SELL
2025-06-13 19:56:00,-5.6,-1.0,SL,SELL
2025-06-17 10:12:00,-6.6,-1.0,SL,SELL
2025-06-18 14:51:00,-7.6,-1.0,SL,SELL
2025-06-19 13:21:00,-8.6,-1.0,SL,SELL
2025-06-20 12:46:00,-7.3999999999999995,1.2,TP,SELL
2025-06-20 13:43:00,-6.199999999999999,1.2,TP,SELL
2025-06-23 11:50:00,-4.999999999999999,1.2,TP,SELL
2025-06-23 12:07:00,-5.999999999999999,-1.0,SL,SELL
2025-06-23 13:03:00,-6.999999999999999,-1.0,SL,SELL
2025-07-01 13:49:00,-7.999999999999999,-1.0,SL,SELL
2025-07-01 14:57:00,-6.799999999999999,1.2,TP,SELL
2025-07-09 09:36:00,-5.599999999999999,1.2,TP,SELL
2025-07-21 20:57:00,-6.599999999999999,-1.0,SL,SELL
2025-07-24 17:35:00,-7.599999999999999,-1.0,SL,SELL
2025-07-25 13:05:00,-6.399999999999999,1.2,TP,SELL
2025-07-28 10:23:00,-5.199999999999998,1.2,TP,SELL
2025-07-30 13:28:00,-3.9999999999999982,1.2,TP,SELL
2025-07-30 13:55:00,-2.799999999999998,1.2,TP,SELL
2025-07-30 17:05:00,-3.799999999999998,-1.0,SL,SELL
2025-08-07 12:18:00,-4.799999999999998,-1.0,SL,SELL
2025-08-12 18:20:00,-3.599999999999998,1.2,TP,SELL
2025-08-13 12:39:00,-2.3999999999999977,1.2,TP,SELL
2025-08-14 12:13:00,-1.1999999999999977,1.2,TP,SELL
2025-08-14 15:11:00,2.220446049250313e-15,1.2,TP,SELL
2025-08-14 16:13:00,1.2000000000000022,1.2,TP,SELL
2025-08-18 14:06:00,0.20000000000000218,-1.0,SL,SELL
2025-08-26 13:34:00,-0.7999999999999978,-1.0,SL,SELL
2025-08-27 12:07:00,-1.7999999999999978,-1.0,SL,SELL
2025-08-28 14:07:00,-2.799999999999998,-1.0,SL,SELL
2025-09-05 14:57:00,-3.799999999999998,-1.0,SL,SELL
