dt_utc,direction,entry,sl,tp
2025-09-02 08:03:00,SELL,1.16974,1.16972,
2025-09-02 12:23:00,BUY,1.16268,1.16277,
2025-09-02 14:26:00,BUY,1.16309,1.1628,
2025-09-02 16:36:01,BUY,1.16713,1.167389,
2025-09-02 22:56:01,SELL,1.16421,1.164644,
2025-09-03 12:30:01,BUY,1.1647,1.1643,
2025-09-04 03:36:00,SELL,1.16662,1.166352,
2025-09-04 16:01:00,BUY,1.16394,1.16376,
2025-09-04 18:57:01,SELL,1.1641,1.163432,
2025-09-05 15:42:02,SELL,1.17372,1.17391,
2025-09-05 18:34:01,BUY,1.17472,1.1758989999999998,
