real_time,real_direction,real_entry,bt_time,bt_entry,time_diff_min,price_diff_pips
2025-09-03 16:06:01,SELL,1.16721,2025-09-03 16:00:00,1.16469,6.016666666666667,25.200000000000777
2025-09-05 13:17:03,BUY,1.1686,2025-09-05 13:12:00,1.16871,5.05,1.0999999999983245
