timestamp,direction,entry,sl,tp,rr,sl_pips,exit_timestamp,exit_reason,exit_price
2025-09-02 17:44:00,SELL,1.16685,1.16743,1.166154,1.2,5.800000000000249,2025-09-02 18:00:00,TP,1.166154
2025-09-03 09:10:00,BUY,1.16302,1.16244,1.163716,1.2,5.800000000000249,2025-09-03 09:30:00,TP,1.163716
2025-09-03 18:37:00,BUY,1.16768,1.16704,1.168448,1.2,6.399999999999739,2025-09-03 19:05:00,SL,1.16704
2025-09-04 09:48:00,BUY,1.1656,1.16512,1.166176,1.2,4.8000000000003595,2025-09-04 09:57:00,SL,1.16512
