ts_entry,ts_exit,direction,entry,stop,target,rr,outcome,bars_to_outcome,mfe,mae,r_result,balance_before,balance_after,cash_result
2025-08-04 22:57:00,2025-08-04 22:58:00,bullish,1.15638,1.15631,1.156464,1.2,win,1.0,3.2857142857129262,0.0,1.2,6061.82076905295,6134.562618281585,72.7418492286354
2025-08-04 23:07:00,2025-08-04 23:09:00,bullish,1.15677,1.15663,1.156938,1.2,loss,2.0,0.28571428571292623,-1.2142857142854877,-1.0,6134.562618281585,6073.216992098769,-61.34562618281585
2025-08-04 23:17:00,,bullish,1.15756,1.15669,1.1586039999999997,1.2,timeout,,0.04597701149430274,-0.32183908045960874,0.0,6073.216992098769,6073.216992098769,0.0
2025-08-04 23:27:00,2025-08-04 23:29:00,bearish,1.15743,1.1575,1.157346,1.2,loss,2.0,0.0,-2.4285714285709754,-1.0,6073.216992098769,6012.484822177781,-60.732169920987694
2025-08-04 23:37:00,,bearish,1.15729,1.15752,1.1570139999999998,1.2,timeout,,0.7391304347820631,-0.9130434782603659,0.0,6012.484822177781,6012.484822177781,0.0
2025-08-04 23:47:00,2025-08-04 23:48:00,bullish,1.15728,1.1572,1.1573760000000002,1.2,loss,1.0,0.0,-1.2499999999986122,-1.0,6012.484822177781,5952.359973956003,-60.12484822177781
2025-08-04 23:57:00,2025-08-05 00:02:00,bearish,1.15728,1.15745,1.157076,1.2,win,3.0,3.0,-0.05882352941084272,1.2,5952.359973956003,6023.788293643475,71.42831968747204
2025-08-05 00:09:00,2025-08-05 00:14:00,bullish,1.15687,1.15677,1.15699,1.2,loss,5.0,0.0999999999984457,-1.400000000000444,-1.0,6023.788293643475,5963.55041070704,-60.23788293643475
2025-08-05 00:19:00,2025-08-05 00:20:00,bullish,1.15698,1.15677,1.1572319999999996,1.2,loss,1.0,0.09523809523880014,-1.0952380952388001,-1.0,5963.55041070704,5903.91490659997,-59.6355041070704
2025-08-05 00:29:00,,bullish,1.15679,1.15619,1.1575099999999998,1.2,timeout,,0.26666666666659267,-0.5833333333335183,0.0,5903.91490659997,5903.91490659997,0.0
2025-08-05 00:39:00,2025-08-05 00:53:00,bullish,1.1568,1.15666,1.156968,1.2,win,14.0,1.2142857142854877,-0.3571428571435369,1.2,5903.91490659997,5974.76188547917,70.84697887919964
2025-08-05 00:49:00,2025-08-05 01:02:00,bullish,1.15694,1.15666,1.1572760000000002,1.2,win,13.0,1.749999999999207,-0.5357142857145123,1.2,5974.76188547917,6046.4590281049195,71.69714262575005
2025-08-05 00:59:00,2025-08-05 01:00:00,bearish,1.15687,1.15694,1.156786,1.2,loss,1.0,0.2857142857160983,-3.7142857142839016,-1.0,6046.4590281049195,5985.994437823871,-60.4645902810492
2025-08-05 01:09:00,,bullish,1.15759,1.15687,1.1584539999999997,1.2,timeout,,0.5000000000003084,-0.08333333333328194,0.0,5985.994437823871,5985.994437823871,0.0
2025-08-05 01:19:00,2025-08-05 01:30:00,bullish,1.15778,1.15759,1.1580080000000001,1.2,win,11.0,1.578947368419761,-0.5789473684209296,1.2,5985.994437823871,6057.826371077757,71.83193325388645
2025-08-05 01:29:00,,bullish,1.15795,1.15759,1.1583820000000002,1.2,timeout,,0.5,-0.7499999999996916,0.0,6057.826371077757,6057.826371077757,0.0
2025-08-05 01:39:00,2025-08-05 01:47:00,bearish,1.15788,1.15808,1.15764,1.2,loss,8.0,1.0,-1.099999999999556,-1.0,6057.826371077757,5997.24810736698,-60.57826371077758
2025-08-05 01:49:00,2025-08-05 02:08:00,bullish,1.15798,1.15771,1.158304,1.2,win,19.0,1.2592592592593201,-0.8518518518516995,1.2,5997.24810736698,6069.215084655383,71.96697728840375
2025-08-05 01:59:00,2025-08-05 02:04:00,bullish,1.15793,1.15777,1.1581219999999999,1.2,win,5.0,1.3750000000012144,-0.9374999999995663,1.2,6069.215084655383,6142.045665671248,72.8305810158646
