zone_width_pips,entry_vs_mid_pips,candle_body_pips,upper_wick_pips,lower_wick_pips,impulse_size_pips,vol_std,tod_sin,tod_cos,is_bullish_swing,is_bearish_swing,label
3.0029999999992008,-3.558500000000464,0.09999999999843467,0.0,0.9999999999998899,15.399999999998748,9.661595136016928e-05,-0.992004949679715,0.1261989691358297,0.0,1.0,1
1.4625000000001442,1.5187500000002352,2.2999999999995246,0.0,0.0,7.500000000000284,0.00013005363380205713,-0.9807852804032303,-0.19509032201612866,1.0,0.0,0
2.827499999999983,4.436249999999475,0.4999999999988347,0.10000000000065512,0.5999999999994898,14.499999999999513,0.00010321220311191337,0.21643961393810318,-0.9762960071199333,1.0,0.0,0
2.4375000000009805,-4.031249999998376,2.2999999999995246,0.0,0.2999999999997449,12.499999999999734,0.00011421434439398023,-0.9832549075639546,0.18223552549214742,0.0,1.0,0
3.3735000000012505,1.8832499999987817,3.300000000001635,0.4999999999988347,0.1999999999990898,17.300000000000093,0.00016642567245818513,-0.9575713608048145,-0.2881962681340891,1.0,0.0,0
1.696500000001322,-3.1817500000008714,2.6999999999999247,0.40000000000040004,0.40000000000040004,8.700000000001484,0.00031395813008384314,-0.45399049973954625,-0.8910065241883681,0.0,1.0,0
1.6769999999999285,-2.601499999999035,1.500000000000945,0.10000000000065512,0.4999999999988347,8.599999999998609,0.00010050288830520021,-0.9743700647852352,0.22495105434386492,0.0,1.0,1
2.340000000000675,-3.0300000000016425,1.900000000001345,0.0,0.8999999999992347,12.000000000000899,0.000170335375947535,-0.7960020025346223,-0.6052939880428941,0.0,1.0,1
2.456999999997933,-0.5114999999999981,6.599999999998829,2.60000000000149,0.2999999999997449,12.599999999998168,0.00014294568662362109,-0.4067366430757998,-0.9135454576426011,0.0,1.0,0
1.9695000000008456,0.7947499999994001,1.80000000000069,0.40000000000040004,0.8000000000008001,10.099999999999554,0.00011201410328032498,-0.13917310096006552,-0.9902680687415703,0.0,1.0,1
2.0670000000011512,-2.606499999999734,2.6999999999999247,0.1999999999990898,0.20000000000131024,10.600000000000609,9.545965905165935e-05,-0.9914448613738104,0.13052619222005213,0.0,1.0,1
3.3735000000012505,4.183249999998306,0.2999999999997449,0.10000000000065512,0.9999999999998899,17.300000000000093,0.00010376125846839507,0.01745240643728344,-0.9998476951563913,1.0,0.0,1
3.2175000000012055,3.141249999998319,4.500000000000615,0.5000000000010552,0.1999999999990898,16.500000000001513,0.00015275030710305414,-0.44619781310980877,-0.8949343616020251,1.0,0.0,0
3.4515000000001628,3.30424999999801,2.100000000000435,0.2999999999997449,0.1999999999990898,17.700000000000493,0.00011953930883518978,-0.25460194820552745,-0.9670459389139432,1.0,0.0,0
1.9110000000011063,-2.7645000000009468,4.3999999999999595,0.09999999999843467,0.20000000000131024,9.799999999999809,0.00023221864066409476,-0.6691306063588582,-0.7431448254773942,0.0,1.0,0
2.6909999999991108,3.0745000000020895,1.40000000000029,0.40000000000040004,0.2999999999997449,13.799999999999368,0.00013990613529211434,0.5336145159156117,-0.8457278217039732,1.0,0.0,1
2.1450000000000635,3.1274999999975073,0.10000000000065512,0.0,1.2999999999996348,10.999999999998789,0.00010574384268642075,0.3420201433256689,-0.9396926207859083,1.0,0.0,0
2.7690000000002435,1.5954999999978625,4.40000000000218,0.0,0.0,14.200000000001989,0.00012019498711385427,-0.03925981575906826,-0.9992290362407229,1.0,0.0,0
2.261999999999542,-3.108999999998918,2.500000000000835,0.0,0.1999999999990898,11.600000000000499,0.00012321344667625463,-0.8216469379421633,-0.5699967625963036,0.0,1.0,1
3.1394999999978523,-5.220249999999815,0.9000000000014552,1.2999999999996348,0.0,16.099999999998893,0.00011696107384131312,-0.013089595571344391,-0.999914327574007,0.0,1.0,1
1.9499999999994522,4.824999999999413,1.7000000000000348,0.5999999999994898,0.5000000000010552,9.999999999998899,0.00014887574042003797,-0.7933533402912349,-0.6087614290087209,1.0,0.0,0
3.1004999999995064,-2.759750000000949,2.2999999999995246,0.5000000000010552,0.0,15.900000000002024,0.00016473759326388965,0.21643961393810318,-0.9762960071199333,0.0,1.0,1
2.7495000000010705,-3.115250000000902,2.80000000000058,1.100000000000545,0.0,14.100000000001334,0.00013706630138947984,-0.22495105434386498,-0.9743700647852352,0.0,1.0,0
4.835999999999174,5.201999999999707,0.8999999999992347,0.0,1.500000000000945,24.800000000000377,0.00010287226858689971,0.17364817766693028,-0.984807753012208,1.0,0.0,0
2.008500000001412,0.7657500000002315,3.6999999999998145,1.80000000000069,0.700000000000145,10.300000000000864,0.00016523323525911463,-0.2672383760782568,-0.9636304532086231,1.0,0.0,0
3.3930000000004235,3.7635000000002528,6.199999999998429,0.40000000000040004,0.2999999999997449,17.400000000000748,0.0001828254285236668,-0.5000000000000001,-0.8660254037844386,1.0,0.0,0
4.504499999999911,3.037749999998951,1.9999999999997797,0.0,0.0,23.100000000000342,0.00012709845421739053,-0.9935718556765875,-0.11320321376790694,1.0,0.0,0
2.261999999999542,2.5089999999994284,2.20000000000109,0.1999999999990898,1.4999999999987246,11.600000000000499,0.00011039197965494276,0.008726535498374403,-0.9999619230641713,1.0,0.0,0
2.9834999999978074,0.4217500000014418,0.9999999999998899,2.900000000001235,2.6999999999999247,15.299999999998093,0.00021672684834082569,-0.41469324265623897,-0.9099612708765432,0.0,1.0,1
2.3010000000001085,1.3694999999991353,4.999999999999449,0.0,0.5999999999994898,11.799999999999589,0.00017053047111695958,-0.9081431738250814,-0.418659737537428,1.0,0.0,1
