open,high,low,close,volume
1.3211,1.32111,1.32094,1.3210600000000001,57
1.32108,1.32118,1.32105,1.32118,52
1.32116,1.32117,1.3209,1.32098,59
1.32098,1.32108,1.32092,1.32093,45
1.32094,1.32099,1.32086,1.32098,58
1.32098,1.32107,1.32097,1.32102,26
1.32102,1.32138,1.32096,1.32138,82
1.32138,1.32149,1.32135,1.3213599999999999,59
1.32138,1.3214000000000001,1.32129,1.32137,43
1.32137,1.32145,1.32132,1.32145,27
1.32144,1.32171,1.32144,1.32148,60
1.32148,1.32156,1.3213300000000001,1.3213599999999999,43
1.3213,1.32138,1.32124,1.32129,41
1.32129,1.32129,1.32108,1.32108,31
1.32108,1.3212,1.32108,1.32118,38
1.32117,1.32131,1.3211,1.32125,70
1.32124,1.32134,1.3212,1.32134,31
1.32134,1.32134,1.32118,1.3212,41
1.3212,1.32137,1.32118,1.32129,49
1.32129,1.32129,1.32096,1.32098,39
1.32097,1.321,1.32076,1.32077,51
1.32076,1.32078,1.32049,1.32057,82
1.32056,1.32071,1.32055,1.32064,84
1.32065,1.32069,1.32053,1.32053,41
1.32053,1.32068,1.32046,1.32046,72
1.3204799999999999,1.3205200000000001,1.32037,1.32038,71
1.32037,1.3204500000000001,1.32026,1.32035,98
1.32036,1.3204500000000001,1.32031,1.3204500000000001,54
1.3204500000000001,1.3205200000000001,1.32034,1.32039,52
1.32039,1.32039,1.32027,1.32035,88
1.32036,1.32047,1.32017,1.32027,93
1.32026,1.3203,1.32006,1.32013,100
1.3201399999999999,1.3202,1.31999,1.32006,83
1.32006,1.32008,1.31993,1.31993,39
1.31993,1.32029,1.31993,1.32028,36
1.32029,1.3204099999999999,1.32028,1.3204,36
1.3204,1.32049,1.32028,1.3204799999999999,43
1.32049,1.32089,1.3204500000000001,1.32089,62
1.32088,1.32092,1.32074,1.3209,45
1.32091,1.32102,1.32088,1.32097,67
1.32098,1.32101,1.3208199999999999,1.3209,43
1.32089,1.3209,1.32078,1.3207900000000001,42
1.32081,1.32091,1.3208,1.3208199999999999,35
1.3208199999999999,1.3208199999999999,1.32065,1.3207,63
1.3207,1.3208199999999999,1.32065,1.3207900000000001,35
1.32078,1.32078,1.32065,1.3207,52
1.32069,1.3207900000000001,1.32068,1.32078,43
1.32078,1.32099,1.32076,1.32092,41
1.3209,1.32092,1.32084,1.32088,35
1.32088,1.3210600000000001,1.32088,1.3210600000000001,39
1.32107,1.3211,1.32103,1.3211,50
1.3211,1.32121,1.32107,1.32117,48
1.32117,1.32118,1.32112,1.32117,77
1.32118,1.32126,1.3211,1.32111,73
1.3211,1.32121,1.3210899999999999,1.32121,35
1.32121,1.32129,1.32112,1.32129,43
1.32129,1.32141,1.32128,1.32139,31
1.3214000000000001,1.3216,1.3214000000000001,1.32148,68
1.32148,1.32152,1.32146,1.32149,35
1.32149,1.32149,1.32138,1.32145,47
1.32144,1.32144,1.32135,1.32139,45
1.3214000000000001,1.32156,1.3214000000000001,1.32155,38
1.32156,1.32168,1.32155,1.32157,39
1.32156,1.3216999999999999,1.32156,1.32169,27
1.3216999999999999,1.32178,1.32168,1.32178,43
1.32177,1.3218,1.32172,1.3218,35
1.3218,1.32199,1.3218,1.32188,60
1.32189,1.32198,1.32186,1.32192,36
1.32191,1.32211,1.3218,1.3221,46
1.3221,1.32221,1.32208,1.3222,44
1.3222,1.3222,1.3220399999999999,1.32209,75
1.32209,1.3221,1.32199,1.322,25
1.32199,1.32222,1.32198,1.32221,61
1.3222,1.3223799999999999,1.32219,1.3223099999999999,52
1.3223,1.3223099999999999,1.32221,1.32227,39
1.32226,1.32241,1.32221,1.32239,42
1.3223799999999999,1.32241,1.3223500000000001,1.32239,25
1.32237,1.32237,1.32224,1.3223,46
1.32229,1.32233,1.3222800000000001,1.32229,25
1.3222800000000001,1.3223,1.32207,1.32216,56
1.32216,1.32216,1.32203,1.32211,27
1.3221,1.32212,1.32202,1.32203,42
1.32202,1.32211,1.322,1.3220100000000001,39
1.3220100000000001,1.32203,1.32185,1.3219,51
1.3219,1.32192,1.32182,1.3219,50
1.3219,1.32191,1.32169,1.32178,48
1.32179,1.3218,1.32173,1.32176,42
1.32176,1.32199,1.32172,1.32192,66
1.32195,1.3220100000000001,1.32189,1.322,47
1.32202,1.3221,1.32187,1.32187,52
1.32188,1.3223,1.32187,1.32229,64
1.32229,1.3223500000000001,1.3222,1.32222,62
1.32221,1.32229,1.32209,1.3221,49
1.32211,1.32211,1.3218,1.3218,49
1.32179,1.32188,1.32169,1.32183,35
1.32182,1.322,1.3218,1.32199,60
1.322,1.3221,1.32196,1.32209,36
1.32209,1.32212,1.32205,1.32211,22
1.32211,1.32211,1.32198,1.32199,38
1.322,1.32208,1.3219699999999999,1.32207,30
1.32207,1.3222,1.32207,1.32219,37
1.32221,1.3222800000000001,1.32217,1.3222800000000001,41
1.3222800000000001,1.3223,1.32223,1.32226,41
1.32226,1.32226,1.32212,1.32213,26
