timestamp,equity_r,last_trade_r,exit_reason,direction
2025-06-03 19:51:00,1.2,1.2,TP,SELL
2025-06-04 17:23:00,0.19999999999999996,-1.0,SL,BUY
2025-06-05 11:34:00,-0.8,-1.0,SL,BUY
2025-06-05 19:05:00,-1.8,-1.0,SL,SELL
2025-06-06 17:01:00,-2.8,-1.0,SL,BUY
2025-06-11 13:50:00,-3.8,-1.0,SL,SELL
2025-06-11 19:07:00,-2.5999999999999996,1.2,TP,SELL
2025-06-12 15:41:00,-1.3999999999999997,1.2,TP,SELL
2025-06-13 13:37:00,-2.3999999999999995,-1.0,SL,SELL
2025-06-16 12:33:00,-1.1999999999999995,1.2,TP,SELL
2025-06-16 19:10:00,4.440892098500626e-16,1.2,TP,SELL
2025-06-17 12:30:00,1.2000000000000004,1.2,TP,BUY
2025-06-17 14:08:00,0.2000000000000004,-1.0,SL,BUY
2025-06-18 13:21:00,-0.7999999999999996,-1.0,SL,BUY
2025-06-18 14:51:00,-1.7999999999999996,-1.0,SL,SELL
2025-06-19 10:21:00,-0.5999999999999996,1.2,TP,BUY
2025-06-19 11:09:00,-1.5999999999999996,-1.0,SL,BUY
2025-06-19 12:12:00,-2.5999999999999996,-1.0,SL,BUY
2025-06-19 15:55:00,-1.3999999999999997,1.2,TP,SELL
2025-06-20 12:47:00,-0.19999999999999973,1.2,TP,SELL
2025-06-20 15:54:00,-1.1999999999999997,-1.0,SL,BUY
2025-06-23 11:31:00,2.220446049250313e-16,1.2,TP,SELL
2025-06-23 13:04:00,-0.9999999999999998,-1.0,SL,SELL
2025-06-24 13:11:00,-1.9999999999999998,-1.0,SL,BUY
2025-06-26 13:04:00,-3.0,-1.0,SL,BUY
2025-06-26 15:06:00,-4.0,-1.0,SL,BUY
2025-06-26 19:05:00,-5.0,-1.0,SL,BUY
2025-06-27 12:03:00,-6.0,-1.0,SL,BUY
2025-06-27 13:44:00,-4.8,1.2,TP,SELL
2025-06-27 16:28:00,-3.5999999999999996,1.2,TP,BUY
2025-06-30 14:01:00,-2.3999999999999995,1.2,TP,SELL
2025-06-30 15:14:00,-1.1999999999999995,1.2,TP,BUY
2025-07-01 14:57:00,4.440892098500626e-16,1.2,TP,SELL
2025-07-01 17:17:00,-0.9999999999999996,-1.0,SL,SELL
2025-07-02 16:08:00,0.2000000000000004,1.2,TP,BUY
2025-07-03 23:05:00,0.2000000000000004,0.0,TIMEOUT,SELL
2025-07-04 11:43:00,-0.7999999999999996,-1.0,SL,BUY
2025-07-04 17:00:00,-1.7999999999999996,-1.0,SL,BUY
2025-07-08 14:05:00,-0.5999999999999996,1.2,TP,SELL
2025-07-08 15:17:00,-1.5999999999999996,-1.0,SL,SELL
2025-07-08 20:13:00,-0.3999999999999997,1.2,TP,BUY
2025-07-09 09:34:00,-1.3999999999999997,-1.0,SL,BUY
2025-07-09 13:00:00,-2.3999999999999995,-1.0,SL,SELL
2025-07-09 13:46:00,-3.3999999999999995,-1.0,SL,BUY
2025-07-10 11:08:00,-2.1999999999999993,1.2,TP,SELL
2025-07-10 14:09:00,-0.9999999999999993,1.2,TP,SELL
2025-07-10 17:34:00,-1.9999999999999993,-1.0,SL,BUY
2025-07-11 17:24:00,-0.7999999999999994,1.2,TP,SELL
2025-07-14 12:28:00,-1.7999999999999994,-1.0,SL,BUY
2025-07-14 15:51:00,-2.7999999999999994,-1.0,SL,BUY
2025-07-16 10:15:00,-1.5999999999999994,1.2,TP,SELL
2025-07-17 16:38:00,-2.5999999999999996,-1.0,SL,BUY
2025-07-18 14:09:00,-3.5999999999999996,-1.0,SL,BUY
2025-07-18 15:56:00,-2.3999999999999995,1.2,TP,SELL
2025-07-21 10:11:00,-3.3999999999999995,-1.0,SL,BUY
2025-07-21 23:20:00,-3.3999999999999995,0.0,TIMEOUT,SELL
2025-07-24 13:45:00,-4.3999999999999995,-1.0,SL,BUY
2025-07-24 16:01:00,-5.3999999999999995,-1.0,SL,BUY
2025-07-28 23:57:00,-6.3999999999999995,-1.0,SL,SELL
2025-07-29 14:50:00,-7.3999999999999995,-1.0,SL,BUY
2025-07-29 15:29:00,-8.399999999999999,-1.0,SL,SELL
2025-07-30 13:28:00,-7.199999999999998,1.2,TP,SELL
2025-07-30 13:55:00,-5.999999999999998,1.2,TP,SELL
2025-07-30 17:05:00,-6.999999999999998,-1.0,SL,SELL
2025-07-30 20:17:00,-5.799999999999998,1.2,TP,SELL
2025-07-31 16:26:00,-6.799999999999998,-1.0,SL,SELL
2025-07-31 19:53:00,-7.799999999999998,-1.0,SL,BUY
2025-08-01 10:32:00,-8.799999999999997,-1.0,SL,SELL
2025-08-01 12:31:00,-9.799999999999997,-1.0,SL,SELL
2025-08-01 19:14:00,-8.599999999999998,1.2,TP,BUY
2025-08-01 20:08:00,-7.399999999999998,1.2,TP,BUY
2025-08-01 20:48:00,-6.1999999999999975,1.2,TP,BUY
2025-08-04 13:35:00,-7.1999999999999975,-1.0,SL,BUY
2025-08-04 18:15:00,-5.999999999999997,1.2,TP,BUY
2025-08-05 11:24:00,-4.799999999999997,1.2,TP,BUY
2025-08-07 12:18:00,-5.799999999999997,-1.0,SL,SELL
2025-08-07 12:33:00,-4.599999999999997,1.2,TP,BUY
2025-08-07 18:23:00,-5.599999999999997,-1.0,SL,BUY
2025-08-07 22:37:00,-4.399999999999997,1.2,TP,BUY
2025-08-08 18:36:00,-5.399999999999997,-1.0,SL,BUY
2025-08-12 18:20:00,-4.199999999999997,1.2,TP,SELL
2025-08-13 14:20:00,-5.199999999999997,-1.0,SL,SELL
2025-08-14 15:36:00,-6.199999999999997,-1.0,SL,BUY
2025-08-14 16:11:00,-4.9999999999999964,1.2,TP,SELL
2025-08-19 15:13:00,-5.9999999999999964,-1.0,SL,SELL
2025-08-22 16:31:00,-6.9999999999999964,-1.0,SL,SELL
2025-08-25 13:38:00,-5.799999999999996,1.2,TP,BUY
2025-08-26 09:05:00,-6.799999999999996,-1.0,SL,SELL
2025-08-26 13:03:00,-7.799999999999996,-1.0,SL,BUY
2025-08-26 13:34:00,-8.799999999999997,-1.0,SL,SELL
2025-08-26 15:32:00,-9.799999999999997,-1.0,SL,BUY
2025-08-27 12:07:00,-10.799999999999997,-1.0,SL,SELL
2025-08-27 15:03:00,-11.799999999999997,-1.0,SL,SELL
2025-08-27 22:06:00,-10.599999999999998,1.2,TP,BUY
2025-08-29 13:55:00,-11.599999999999998,-1.0,SL,SELL
2025-08-29 16:20:00,-10.399999999999999,1.2,TP,BUY
2025-09-01 11:55:00,-11.399999999999999,-1.0,SL,BUY
2025-09-01 15:07:00,-10.2,1.2,TP,SELL
2025-09-02 14:50:00,-9.0,1.2,TP,SELL
2025-09-03 13:05:00,-10.0,-1.0,SL,BUY
2025-09-03 13:41:00,-8.8,1.2,TP,SELL
2025-09-03 14:15:00,-7.6000000000000005,1.2,TP,BUY
2025-09-03 16:05:00,-8.600000000000001,-1.0,SL,BUY
2025-09-04 00:03:00,-8.600000000000001,0.0,TIMEOUT,SELL
2025-09-04 15:34:00,-9.600000000000001,-1.0,SL,SELL
2025-09-05 20:59:00,-9.600000000000001,0.0,TIMEOUT,SELL
